Sepal Length,Sepal Width,Petal Length,Petal Width,Type,Cluster,Distance from cluster 1 centroid,Distance from cluster 2 centroid,Distance from cluster 3 centroid
5.1,3.5,1.4,0.2,Iris-setosa,3,0.2573822,0.417752,0.0009223223
4.9,3,1.4,0.2,Iris-setosa,3,0.2028556,0.4113183,0.01831615
4.7,3.2,1.3,0.2,Iris-setosa,3,0.2393943,0.4421242,0.006974697
4.6,3.1,1.5,0.2,Iris-setosa,3,0.2087021,0.4127755,0.01311505
5,3.6,1.4,0.2,Iris-setosa,3,0.2779148,0.4328964,0.00350821
5.4,3.9,1.7,0.4,Iris-setosa,3,0.302129,0.4046624,0.02765727
4.6,3.4,1.4,0.3,Iris-setosa,3,0.256541,0.4404285,0.00276053
5,3.4,1.5,0.2,Iris-setosa,3,0.231676,0.3984336,6.151199E-05
4.4,2.9,1.4,0.2,Iris-setosa,3,0.2155495,0.4475298,0.03368962
4.9,3.1,1.5,0.1,Iris-setosa,3,0.1986077,0.3936167,0.01065409
5.4,3.7,1.5,0.2,Iris-setosa,3,0.2783723,0.4078143,0.01072967
4.8,3.4,1.6,0.2,Iris-setosa,3,0.225818,0.3935746,0.001101732
4.8,3,1.4,0.1,Iris-setosa,3,0.2059,0.4173844,0.01881611
4.3,3,1.1,0.1,Iris-setosa,3,0.2645884,0.5063121,0.02881968
5.8,4,1.2,0.2,Iris-setosa,3,0.3861907,0.493448,0.04655766
5.7,4.4,1.5,0.4,Iris-setosa,3,0.4751873,0.5366945,0.1073647
5.4,3.9,1.3,0.4,Iris-setosa,3,0.3494742,0.4721837,0.0270524
5.1,3.5,1.4,0.3,Iris-setosa,3,0.2573822,0.417752,0.0009223223
5.7,3.8,1.7,0.3,Iris-setosa,3,0.275398,0.3772774,0.02396154
5.1,3.8,1.5,0.3,Iris-setosa,3,0.3059216,0.4360178,0.01524341
5.4,3.4,1.7,0.2,Iris-setosa,3,0.2011523,0.3457363,0.0036906
5.1,3.7,1.5,0.4,Iris-setosa,3,0.2836601,0.4221662,0.008384228
4.6,3.6,1,0.2,Iris-setosa,3,0.3431196,0.5303631,0.01058495
5.1,3.3,1.7,0.5,Iris-setosa,3,0.1924431,0.3545012,0.002749801
4.8,3.4,1.9,0.2,Iris-setosa,3,0.1934596,0.3460842,0.004706144
5,3,1.6,0.2,Iris-setosa,3,0.1764588,0.3718123,0.01843917
5,3.4,1.6,0.4,Iris-setosa,3,0.2200497,0.3817633,0.0004224777
5.2,3.5,1.5,0.2,Iris-setosa,3,0.2432526,0.3955573,0.001324654
5.2,3.4,1.4,0.2,Iris-setosa,3,0.2392359,0.4049945,0.0007222891
4.7,3.2,1.6,0.2,Iris-setosa,3,0.2032552,0.3908532,0.006798148
4.8,3.1,1.6,0.2,Iris-setosa,3,0.1900256,0.3830121,0.01151502
5.4,3.4,1.5,0.4,Iris-setosa,3,0.223985,0.3786566,0.002548099
5.2,4.1,1.5,0.1,Iris-setosa,3,0.383019,0.4848645,0.04868007
5.5,4.2,1.4,0.2,Iris-setosa,3,0.4212654,0.51068,0.0671699
4.9,3.1,1.5,0.1,Iris-setosa,3,0.1986077,0.3936167,0.01065409
5,3.2,1.2,0.2,Iris-setosa,3,0.2431479,0.4418573,0.006374002
5.5,3.5,1.3,0.2,Iris-setosa,3,0.2634393,0.4167672,0.00516963
4.9,3.1,1.5,0.1,Iris-setosa,3,0.1986077,0.3936167,0.01065409
4.4,3,1.3,0.2,Iris-setosa,3,0.2337484,0.4623628,0.0244993
5.1,3.4,1.5,0.2,Iris-setosa,3,0.2292727,0.3930086,0.000202179
5,3.5,1.3,0.3,Iris-setosa,3,0.2722521,0.4406874,0.001260161
4.5,2.3,1.3,0.3,Iris-setosa,3,0.2326835,0.517146,0.1337919
4.4,3.2,1.3,0.2,Iris-setosa,3,0.2514116,0.4632059,0.0113585
5,3.5,1.6,0.6,Iris-setosa,3,0.236113,0.3894161,0.001083612
5.1,3.8,1.9,0.4,Iris-setosa,3,0.2619367,0.3718569,0.01920903
4.8,3,1.4,0.3,Iris-setosa,3,0.2059,0.4173844,0.01881611
5.1,3.8,1.6,0.2,Iris-setosa,3,0.2942951,0.4193475,0.01560485
